,ITPKB,ITPKB,ITPKB,IP6K2,IP6K2,IP6K2,IP6K1,IP6K1,IP6K1,PPIP5K2,PPIP5K2,PPIP5K2,IP6K3,IP6K3,IP6K3,IPPK,IPPK,IPPK,IPMK,IPMK,IPMK,ITPK1,ITPK1,ITPK1,ITPKA,ITPKA,ITPKA,PPIP5K1,PPIP5K1,PPIP5K1,ITPKC,ITPKC,ITPKC
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain: Brain - Putamen (basal ganglia),28.15099112192789,12.35485105634969,24,9.55817445119222,2.5165733148362985,24,14.708159665266676,4.765672623761854,24,1.3415071417888003,0.7652119648815376,24,1.8852325628201168,1.3679955679603724,24,2.336975139876207,0.9774137681498628,24,1.281510574122269,0.5606169810493561,24,43.2532976468404,7.658934964989528,24,25.41075127323469,16.823626807104034,24,3.6249761233727136,1.6638142766453068,24,4.237439811229706,3.1371975095366498,24
Brain: Brain - Spinal cord (cervical c-1),27.31178092956543,6.800311080644707,19,7.164981942427781,1.997174401767668,19,10.21752169257716,3.659419248962782,19,1.526379695064144,0.5921700851194723,19,6.182421897587025,3.8788676960176462,19,2.248431143007781,0.818807341214664,19,1.3633055781063295,0.43271438731826045,19,40.10911258898283,4.500528085857806,19,0.4141725737013314,0.2684430001076677,19,2.7767829455827404,1.357686563247716,19,3.8732112583361173,3.264793779272756,19
Brain: Brain - Substantia nigra,38.19456347712764,14.43249194594829,27,9.898329611177799,4.024992471077519,27,12.961379669330741,4.476572531379831,27,1.9186067205888253,0.9014459085311743,27,5.082422158232436,4.371298192629289,27,2.4492280041729972,1.0280108895704372,27,1.3723981027249943,0.5214932539371427,27,39.53892757274485,10.493302342079954,27,4.350325043002766,10.561021281009692,27,3.3637962915279256,1.4766327340452732,27,5.511652849338673,6.450109221536927,27
Breast: Breast - Mammary Tissue,13.190442117777735,4.72778859774791,66,21.714735052802347,7.912154500707672,66,13.407000144322716,2.888212194182078,66,3.1885332483233833,0.9379727050985656,66,1.1427146106196404,2.50458469337744,66,2.8846488576946836,0.7642957460181986,66,2.3680906331900395,0.8488120095991212,66,16.18789278377186,9.836684934374798,66,0.14523083262258404,0.12621547206021672,66,3.1715265295722266,1.0538813851902047,66,25.921225085402984,9.382835539932541,66
Cervix Uteri: Cervix - Ectocervix,20.59629428386687,13.03205343789903,6,21.591736475626632,6.140518254672098,6,13.91341114044189,4.880517871295501,6,2.8552636504173265,1.0818913505217806,6,1.4035919482509287,0.9971546954290335,6,6.67041816314062,6.6819969628772995,6,1.7518124381701152,1.07512128458258,6,19.884831110636405,9.999916201298474,6,0.9219518701235456,0.5132977231932838,6,2.9531308809916186,0.6226027802852521,6,33.93579292297364,21.407861580186932,6
Cervix Uteri: Cervix - Endocervix,19.762988408406535,5.805965994159264,3,27.956793785095233,15.587222927568881,3,17.22030639648437,0.39030511561686415,3,3.6944382190704332,0.6179176095844354,3,2.21311326821645,0.6039287964957516,3,2.8908389409383166,0.7798195068249849,3,2.0432954231898,0.7764716658054169,3,23.019237518310565,0.3389558996401545,3,0.7198801239331564,0.23222414744208483,3,3.5925188859303803,0.8694588229155965,3,22.3226235707601,7.201675131834296,3
Colon: Colon - Sigmoid,26.397759217482353,5.705541922993316,13,13.412565378042377,6.164307909388523,13,16.597304784334614,1.9205740384651597,13,2.235905161270728,0.48517643541543387,13,6.6310455982501715,3.1642283118226033,13,2.3343791503172646,0.49333296307316926,13,1.0356115423716026,0.512706119004027,13,19.805680128244266,4.828038070665318,13,0.9946614022438348,1.1757771148025737,13,2.783810092852666,0.6403648802780063,13,14.135290659390968,5.1201481110628135,13
Colon: Colon - Transverse,10.053664535772604,7.182686981463144,61,30.37087384208304,7.750137293614919,61,11.77016022947968,1.8876583879153541,61,3.2997631166802077,0.6000689637021452,61,1.9671768971153947,1.2820780204136917,61,2.466633192828444,0.5657139117438353,61,2.3233214206382873,0.7658044711228884,61,18.646066087191222,2.284164382340537,61,13.000287833760996,5.770944295071266,61,5.564210614220041,1.1947601945280484,61,13.677038138030007,4.684243566271056,61
Esophagus: Esophagus - Gastroesophageal Junction,26.476766326210715,9.397945363982766,22,11.213347825137047,3.153881243378874,22,15.503784266385162,2.5406910905479747,22,1.938998314467343,0.30052202916738735,22,2.226389760998162,1.1340150747825752,22,2.190142154693604,0.4610645423012898,22,0.9592045911333776,0.40063157229355995,22,31.876557696949362,9.608123165227619,22,0.5289591645652597,0.3284432083481149,22,2.664252812212165,0.5553878265895867,22,16.844885587692257,9.200483873086421,22
Esophagus: Esophagus - Mucosa,6.092832556310689,1.646867718728656,106,17.60593710305556,5.360401068665447,106,11.167993410578312,1.623350615697062,106,1.8796649153502483,0.44940326413062104,106,1.371410051185005,1.133442553785116,106,15.636920191207023,5.149461368386241,106,2.9319009139852703,1.041533976119234,106,6.748156210161606,1.9075492327094647,106,0.22022167522952238,0.17592917571510835,106,3.667056238876199,0.8752284648897302,106,67.36813550625206,30.20685618415804,106
